label,translation,comment
"Import a dataset from an environment","작업환경에서 데이터 불러오기"
"Select a data.frame:","데이터 프레임 선택 :"
"List of data.frame...","데이터 프레임 목록"
"Select an environment in which to search:","탐색할 환경 :"
"Select environment","환경 선택"
"No data selected!","데이터 선택 되지 않음"
"Use a data.frame from your environment or from the environment of a package.","패키지나 개발환경의 데이터 사용 "
"No data.frame here...","데이터가 없습니다"
"Ooops","헉"
"Something went wrong...","오류 발생"
"Data successfully imported!","데이터 불러오기 성공"
"Data ready to be imported!","데이터 불러올 준비 완료"
"data has %s obs. of %s variables.","데이터는 %s 행과 %s 열로 구성"
"click to see data","클릭하여 데이터 확인"
"Import data","데이터 불러오기"
"Import a file","파일 불러오기"
"Upload a file:","파일 업로드:"
"Browse...","탐색..."
"No file selected","파일 선택되지 않음"
"Number of rows to skip before reading data:","데이터를 읽기 전에 넘길 행의 수:"
"Decimal separator:","소수점 구분:"
"Encoding:","인코딩:"
"Select sheet to import:","불러올 시트 선택:"
"No file selected:","파일이 선택되지 않음:"
"You can import %s files","%s 개의 파일을 불러올 수 있습니다."
"First five rows are shown below:","처음 다섯 행:"
"Copy & paste data","복사 & 붙여넣기"
"Paste data here:","아래에 데이터를 붙여넣으세요 :"
"Nothing pasted yet!","아무것도 입력되지 않았습니다!"
"Please paste a valid link in the dialog box above.","위 대화상자에 유효한 링크를 입력하세요."
"You can import from flat table format supported by","데이터 형식 지원:"
"Please copy and paste some data in the dialog box above.","위의 박스에 붙여넣기 하세요"
"Import Google Spreadsheet","GoogleSheet에서 불러오기"
"You can either use:","다음을 사용할 수 있습니다:"
"A shareable link, in that case first sheet will be read","공유 가능한 링크, 첫번째 시트가 사용됩니다."
"The URL that appear in your browser, in that case the current sheet will be read","브라우저의 URL, 첫번째 시트가 사용됩니다"
"Enter a shareable link to a GoogleSheet:","구글시트의 공유링크를 입력하세요"
"Please paste a valid GoogleSheet link in the dialog box above.","구글시트 링크를 위에 입력해주세요"
"Help","도움말"
"Environment","환경"
"External file","외부 파일"
"Copy / Paste","복사 / 붙여넣기"
"Googlesheets","구글시트"
"How to import data?","데이터를 어떻게 불러올까요?"
"Import","불러오기"
"View","확인"
"Update","업데이트"
"Validate","검증"
"Update & select variables","변수를 선택 / 업데이트"
"Date format:","날짜 형태: "
"Date to use as origin to convert date/datetime:","날짜 변환에 대한 기준날짜:"
"Select, rename and convert variables in table above, then apply changes by clicking button below.","위 테이블의 변수를 선택, 이름변경, 전환 한 다음, 버튼을 눌러 변화를 적용하세요."
"Apply changes","적용"
"Data has %s observations and %s variables.","데이터는 %s 행과 %s 열로 구성."
"Data successfully updated!","데이터가 업데이트 되었습니다!"
"Validation:","검증 :"
"OK","성공"
"Failed","실패"
"Error","에러"
"Number of rows:","행의 수 :"
"No data to display.","데이터가 없습니다"
"Close","닫기"
"Add a label to data","데이터에 라벨 추가"
"Import Url", "URL 불러오기"
"Enter URL to data:", "데이터 URL 입력:"
"Display settings", "디스플레이 설정"
"Close Window", "창 닫기"
"Show data", "데이터 확인"
"More options", "추가 옵션"
"Title:", "제목:"
"Font face:", "폰트 종류:"
"Font size:", "폰트 크기:"
"Left", "왼쪽"
"Center", "가운데"
"Right", "오른쪽"
"Align:", "정렬:"
"Caption:", "캡션: "
"X label:", "X축 라벨:"
"X label", "X축 라벨"
"Y label:", "Y축 라벨:"
"Y label", "Y축 라벨"
"Title","제목"
"Subtitle:","부제:"
"Subtitle", "부제"
"Caption","자막"
"Fill label:","채우기 라벨:"
"Fill label","채우기 라벨"
"Color label:","색상 라벨:"
"Color label","색상 라벨"
"Size label:","크기 라벨:"
"Size label","크기 라벨"
"Shape label:","모양 라벨:"
"Shape label","모양 라벨"
"Labels & Title","라벨 & 제목"
"Add a smooth line:","추세선:"
"Yes","네"
"No","아니오"
"Smooth line span:","추세선:"
"Jittered points:","뿌려진 데이터"
"Size for points/lines:","점/선의 크기"
"Facet scales:","분할 크기"
"Facet ncol:","분할 행수"
"Facet nrow:","분할 열수"
"Numbers of bins:","Bin의 수"
"Scale:","크기:"
"X-Axis limits (empty for none):","X축 제한(없으면 비우세요)"
"X-Axis transform:","X축 변환:"
"Y-Axis limits (empty for none):","Y축 제한(없으면 비우세요)"
"Y-Axis transform:","Y축 변환:"
"Bandwidth adjustment:","폭 조절:"
"Position:","위치: "
"Flip coordinate:","축 반전"
"Plot options","그림 설정"
"Color:","색상:"
"Ribbon color:","리본 색상"
"Point symbol:","점 모양:"
"Theme:","테마:"
"Legend position:","레전드 위치"
"Appearance","디자인"
"Copy to clipboard","클립보드에 복사"
"Code:","코드:"
"Code","코드"
"Imported data","준비된 데이터"
"Import data", "데이터 불러오기"
"Export chart", "차트 저장"
"Filename:", "파일명:"
"Filename","파일명"
"Width:","너비:"
"Height:","높이:"
"Update Preview","미리보기 업데이트"
"Export format:", "출력 형태:"
"Use a color palette:","색상 파레트: "
"Reverse the order of colors?","역방향 색상 순서 ?"
"Use specific colors:","이 색상을 사용:"
"Format not supported","지원하지 않는 형식입니다"
